,reaction time (sec),,reaction time (sec),,,,,
Wavelength (nm),0,Wavelength (nm),60,120,180,240,300,360
499.94946,1.92E-04,498.99069,0.05849,0.06626,0.06648,0.06838,0.07821,0.07968
499.03937,-1.13E-04,497.92856,0.05231,0.06448,0.06366,0.06403,0.07452,0.07284
497.97733,2.63E-04,497.01794,0.04861,0.05904,0.05902,0.06155,0.07031,0.07066
497.06683,8.61E-04,495.95538,0.04196,0.05316,0.05506,0.05033,0.06654,0.06347
496.00439,7.95E-04,495.0444,0.03718,0.04575,0.04872,0.05034,0.0634,0.05262
494.94171,2.03E-04,493.98138,0.03379,0.04649,0.0462,0.04381,0.05431,0.04797
494.03064,7.60E-04,493.07004,0.03044,0.04016,0.04303,0.03875,0.05256,0.04348
492.9675,5.12E-04,492.00659,0.02781,0.03677,0.04011,0.04422,0.0521,0.05007
492.05606,0.00129,490.9429,0.02106,0.03408,0.03329,0.03704,0.04718,0.04101
490.99252,0.00162,490.03098,0.01958,0.02359,0.02724,0.02659,0.04005,0.03843
489.92874,0.00255,488.96686,0.01523,0.02308,0.02309,0.02401,0.03812,0.03299
489.01672,0.00204,488.0546,0.01338,0.02214,0.02037,0.02179,0.03377,0.03258
487.95251,0.00329,486.99005,0.01051,0.01934,0.01892,0.02158,0.03318,0.03165
487.04013,0.0039,485.92526,0.00753,0.01241,0.01224,0.01406,0.02711,0.0249
485.97549,0.00352,485.01242,0.00526,0.00807,0.00792,0.01244,0.0242,0.01965
485.06277,0.00509,483.94724,0.00218,0.00886,0.00922,0.01317,0.02451,0.01505
483.99768,0.00648,483.03403,3.57E-04,0.00821,0.00614,0.01034,0.02061,0.01929
482.9324,0.00804,481.96838,1.81E-04,0.00842,0.00267,0.0096,0.01972,0.01779
482.0191,0.00913,481.05481,-0.00206,0.00552,0.00115,0.00599,0.0181,0.01512
480.95337,0.01024,479.98877,-0.00481,8.36E-07,-0.00133,0.00278,0.01308,0.00857
480.03973,0.01186,479.07483,-0.00293,0.00427,-5.64E-07,1.19E-06,0.01444,0.00959
478.97357,0.01394,478.00839,-0.00371,0.00285,2.76E-04,0.00396,0.01212,0.00578
478.05957,0.0169,476.94168,-0.00319,-9.90E-04,-0.00303,9.52E-04,0.00762,0.00692
476.99301,0.01962,476.02719,-0.00291,0.0029,3.75E-05,-8.31E-04,0.00803,0.00437
475.92621,0.02188,474.96008,0.00102,-6.50E-04,-0.00233,-0.00163,0.00647,3.85E-04
475.01166,0.0255,474.04526,1.94E-07,4.76E-04,-0.00401,3.36E-04,0.00584,0.00372
473.94446,0.03,472.97772,0.00183,0.00278,-0.00416,-0.00888,4.81E-07,0.00426
473.02951,0.03462,472.06253,0.00308,0.00179,-0.00873,-0.00865,1.44E-04,-3.23E-06
471.96191,0.0405,470.99457,0.0072,0.00385,-0.00711,-0.00683,0.00219,0.00107
471.04663,0.04491,469.92642,0.01029,0.00456,-0.00608,-0.01067,-4.97E-04,-0.00193
469.97861,0.05307,469.01068,0.01391,0.00663,-0.00603,-0.00611,-9.42E-04,-0.00147
469.06296,0.05731,467.94211,0.01875,0.00689,-0.00558,-0.01215,-2.04E-04,-0.01026
467.99451,0.06648,467.026,0.0219,0.00802,-0.01092,-0.01184,-0.00763,-0.00543
466.92584,0.07578,465.95703,0.0271,0.00869,-0.0071,-0.01369,-0.00601,-0.00836
466.00967,0.08531,465.04059,0.03205,0.01315,-0.00576,-0.01954,-0.00215,-0.01769
464.94061,0.0944,463.97119,0.04042,0.01693,-0.00282,-0.01083,-0.0043,-0.00748
464.02408,0.10458,463.05438,0.04532,0.01626,-0.00588,-0.00979,-0.00497,-0.00853
462.95462,0.1129,461.98459,0.05365,0.02254,-0.00424,-0.01231,-0.0067,-0.0137
462.03775,0.12562,461.06744,0.06024,0.0273,-3.51E-04,-0.01056,-0.00832,-0.00797
460.96787,0.14112,459.99725,0.06879,0.03263,0.00332,-0.01177,-9.32E-04,-0.00731
460.05063,0.15155,458.92682,0.07813,0.04004,0.00516,-0.01325,-0.00181,-0.01174
458.98035,0.16623,458.00916,0.08852,0.04424,0.00519,-0.00857,-0.00396,-0.01306
458.06277,0.17791,456.93832,0.09815,0.05026,0.00841,-0.00739,-0.00392,-0.0065
456.9921,0.19899,456.02029,0.11286,0.05529,0.0142,-0.0057,-0.00211,-0.00589
456.07419,0.21588,454.94907,0.1227,0.06047,0.01485,-0.00746,-0.00702,-0.00639
455.00308,0.23616,454.0307,0.13243,0.06754,0.01792,-0.00528,-0.00555,-0.00968
453.93179,0.25478,452.95911,0.14414,0.07428,0.01584,-0.00663,-0.00561,-0.00627
453.01337,0.2701,452.04041,0.16045,0.08511,0.02362,-1.58E-04,-0.00566,-0.01033
451.94165,0.2942,450.96838,0.17715,0.0908,0.02584,-0.00567,-0.00528,-0.00824
451.02289,0.31893,450.04932,0.19293,0.10179,0.03057,8.68E-04,-0.00331,-0.00589
449.95078,0.34432,448.97693,0.20861,0.10752,0.0348,-0.0045,-0.00718,-0.00681
449.03168,0.36483,448.05753,0.2206,0.11428,0.03746,4.54E-04,-0.00248,-0.00439
447.95917,0.38339,446.98474,0.24565,0.129,0.04326,0.00596,-0.00194,-0.01254
447.03973,0.41434,446.065,0.26322,0.13853,0.04586,0.00451,-0.00122,-0.0133
445.96686,0.45136,444.99182,0.28975,0.15111,0.05355,0.00919,-0.00469,-0.00255
445.04706,0.48215,444.07175,0.30427,0.161,0.0578,0.00974,-0.00532,-0.00308
443.97379,0.51643,442.99817,0.3232,0.17062,0.06352,0.01048,-0.00179,-0.01073
443.05368,0.53244,441.92438,0.35449,0.18827,0.07023,0.01355,-2.01E-04,-0.00552
441.98001,0.57365,441.00381,0.37499,0.2007,0.07574,0.01246,0.00192,8.49E-04
441.05954,0.60934,439.92963,0.40268,0.21674,0.08284,0.02081,0.00422,-0.00633
439.9855,0.65048,439.00873,0.4247,0.23,0.08858,0.02132,0.00325,-0.00271
439.06473,0.68491,437.93417,0.45183,0.24175,0.09366,0.02428,0.00539,0.00198
437.9903,0.7162,437.01294,0.47231,0.25722,0.1017,0.02541,0.00572,4.37E-04
437.06918,0.74868,435.93799,0.50731,0.27523,0.11073,0.03243,0.0018,0.00607
435.99435,0.80475,435.01642,0.53359,0.28951,0.1165,0.0329,0.00637,0.00381
435.07291,0.83332,433.9411,0.56035,0.30498,0.12489,0.03414,0.00783,0.00795
433.99771,0.87958,433.01923,0.5782,0.3152,0.12915,0.0365,0.01183,0.00633
433.07596,0.90571,431.94351,0.61375,0.33401,0.13507,0.04167,0.01358,0.00836
432.00037,0.95285,431.0213,0.64166,0.34765,0.14429,0.04077,0.01154,0.00994
430.92459,0.99812,429.94519,0.67713,0.37057,0.15441,0.04865,0.01372,0.00521
430.00232,1.04027,429.02267,0.70215,0.38496,0.16086,0.04684,0.01277,0.00763
428.92615,1.08757,427.9462,0.72811,0.3989,0.16535,0.04904,0.01711,0.00946
428.00357,1.1239,427.02335,0.75513,0.41294,0.17314,0.04798,0.01644,0.01254
426.92703,1.17334,425.9465,0.78396,0.429,0.18234,0.05906,0.01255,0.01656
426.00412,1.20785,425.02335,0.81798,0.45022,0.18885,0.06606,0.01733,0.01829
424.92722,1.24589,423.94611,0.825,0.46479,0.19632,0.06376,0.02146,0.01593
424.004,1.29122,423.02261,0.86627,0.47472,0.20198,0.06859,0.02261,0.01677
422.9267,1.33218,421.94504,0.90451,0.48935,0.20619,0.07242,0.02171,0.01472
422.00317,1.36414,421.02124,0.9216,0.50653,0.2193,0.07568,0.02375,0.01942
420.92551,1.40178,419.94327,0.96297,0.52185,0.22716,0.0773,0.02242,0.01978
420.00165,1.44098,419.01913,0.99368,0.54141,0.23366,0.07949,0.02584,0.02108
418.92361,1.50486,417.94083,1.00412,0.55882,0.24063,0.08195,0.02489,0.01851
417.99945,1.52679,417.01639,1.02456,0.56502,0.24254,0.08456,0.02377,0.01452
417.07513,1.54288,415.93768,1.05775,0.58092,0.25374,0.0889,0.02621,0.02062
415.99655,1.61441,415.01294,1.09078,0.60232,0.26024,0.09092,0.03401,0.02432
415.07193,1.62489,413.93387,1.10154,0.60875,0.26558,0.09424,0.03395,0.02236
413.99301,1.68296,413.00882,1.12865,0.62146,0.27108,0.095,0.03179,0.02691
413.06805,1.6841,411.92938,1.151,0.63318,0.26832,0.09798,0.03208,0.02763
411.98877,1.72872,411.00403,1.16669,0.64692,0.27915,0.10247,0.03638,0.0302
411.06351,1.76125,409.92422,1.16544,0.64742,0.28337,0.10175,0.0365,0.02567
409.98389,1.78362,408.99857,1.20347,0.65925,0.27769,0.10608,0.03872,0.02827
409.05832,1.77484,408.07272,1.21234,0.67091,0.29122,0.10084,0.03259,0.02686
407.9783,1.78295,406.99243,1.22698,0.67683,0.28941,0.10524,0.03722,0.03012
407.05243,1.86092,406.06628,1.242,0.68383,0.30072,0.10407,0.035,0.03146
405.97208,1.83921,404.98563,1.2446,0.68834,0.30358,0.10669,0.03584,0.03547
405.0459,1.86221,404.0592,1.2667,0.69262,0.29963,0.1039,0.04135,0.03826
403.96518,1.83224,402.97818,1.25955,0.69653,0.30336,0.11465,0.04074,0.03709
403.0387,1.82479,402.05145,1.25883,0.70112,0.30752,0.1155,0.04213,0.03508
401.95764,1.86329,400.97006,1.2787,0.69787,0.30851,0.11323,0.04601,0.03289
401.03085,1.85302,400.04303,1.27771,0.69799,0.30548,0.1141,0.0459,0.0396
399.94943,1.86902,398.9613,1.26704,0.70312,0.30808,0.11442,0.04577,0.03751
399.02234,1.83587,398.03397,1.2432,0.69728,0.30205,0.11757,0.04379,0.03774
397.94058,1.86865,396.9519,1.27921,0.70054,0.30868,0.11408,0.04747,0.03843
397.01318,1.86848,396.02426,1.24791,0.68535,0.30653,0.11272,0.04658,0.03067
395.93106,1.85399,394.94183,1.27777,0.68828,0.30725,0.10834,0.04987,0.0406
395.00339,1.85488,394.01392,1.17864,0.68813,0.30324,0.11542,0.0462,0.04127
394.07556,1.85145,392.93115,1.21984,0.68207,0.27758,0.11573,0.04464,0.03812
392.99295,1.83094,392.0029,1.2246,0.67838,0.30305,0.11193,0.05216,0.03904
392.06482,1.8215,391.07455,1.22149,0.67497,0.29442,0.11168,0.04926,0.04564
390.98184,1.76416,389.99127,1.20275,0.68222,0.29836,0.11147,0.05021,0.04235
390.05344,1.73561,389.06262,1.18659,0.65508,0.29002,0.1116,0.05061,0.03687
388.97012,1.69752,387.979,1.18164,0.65346,0.29055,0.11364,0.04935,0.04361
388.04144,1.76182,387.05005,1.15457,0.64468,0.28864,0.1125,0.04834,0.0448
386.95779,1.70211,385.9661,1.12876,0.63698,0.27616,0.11088,0.05157,0.04483
386.02878,1.68514,385.03687,1.13774,0.62829,0.28233,0.10763,0.04931,0.04326
384.94479,1.64166,383.95258,1.11874,0.61866,0.27736,0.10996,0.04957,0.03705
384.01553,1.63726,383.02304,1.09993,0.61016,0.26394,0.10586,0.05032,0.03523
382.93118,1.58716,381.93842,1.09345,0.59773,0.26334,0.1065,0.04999,0.03898
382.00162,1.56434,381.00861,1.06397,0.58972,0.26468,0.10543,0.05112,0.04083
381.07193,1.53986,379.92365,1.00811,0.57688,0.25856,0.10037,0.04712,0.03786
379.98709,1.50081,378.99353,1.01559,0.56708,0.25285,0.10108,0.04679,0.03932
379.05713,1.42926,378.06329,0.98932,0.55654,0.25174,0.10091,0.05107,0.04502
